ペルソナ,#,サブキーワード,マストとの関係,態度,Vol
1,マスト,クライアントワーク タスク管理,-,-,0
1,1,クライアントワーク 効率化,課題の上位概念,課題認識,0
1,2,クライアント 依頼 散らばる,直接的な課題,課題認識,0
1,3,タスク管理 うまくいかない,課題の自覚,課題認識,10
1,4,タスク 抜け漏れ 防止,課題の具体化,課題認識,0
1,5,Slack タスク 埋もれる,ツール起因の課題,課題認識,0
1,6,Slack 依頼 見落とし,ツール起因の課題,課題認識,0
1,7,メール タスク 管理 大変,チャネル別の課題,課題認識,0
1,8,複数クライアント 進捗管理,状況の課題,課題認識,0
1,9,マーケティング タスク管理 課題,職種特化の課題,課題認識,0
1,10,代理店 タスク管理 煩雑,業種特化の課題,課題認識,0
1,11,支援会社 業務効率化,業種特化の課題,課題認識,0
1,12,クライアント対応 時間かかる,時間の課題,課題認識,0
1,13,タスク転記 面倒,作業の課題,課題認識,0
1,14,タスク登録 時間がかかる,作業の課題,課題認識,0
1,15,名もなき作業 削減,タンタンの訴求軸,課題認識,0
1,16,依頼 一元化 できない,状態の課題,課題認識,0
1,17,社内 社外 タスク 分散,構造的な課題,課題認識,0
1,18,クライアント別 管理 大変,状況の課題,課題認識,0
1,19,タスク管理ツール 比較,ツール探し,情報収集,90
1,20,タスク管理ツール おすすめ,ツール探し,情報収集,320
1,21,チーム タスク管理 ツール,チーム視点での探索,情報収集,210
1,22,クライアント管理 ツール,業務特化の探索,情報収集,30
1,23,マーケティング 進捗管理 ツール,職種特化の探索,情報収集,0
1,24,Asana 代替,競合からの乗り換え,情報収集,20
1,25,Trello 代替,競合からの乗り換え,情報収集,20
1,26,Backlog 代替,競合からの乗り換え,情報収集,30
1,27,タスク管理 シンプル,ニーズ特化,情報収集,90
1,28,社外共有 タスク管理,機能特化の探索,情報収集,0
1,29,外部共有 タスク管理,機能特化の探索,情報収集,0
1,30,クライアント タスク共有 ツール,機能特化の探索,情報収集,0
1,31,依頼管理 ツール,用途特化の探索,情報収集,30
1,32,依頼受付 システム,用途特化の探索,情報収集,0
1,33,タスク管理 無料,条件特化の探索,情報収集,720
1,34,タスク管理 中小企業,規模特化の探索,情報収集,0
1,35,マーケ支援会社 ツール,業種特化の探索,情報収集,0
1,36,URL共有 タスク追加,タンタン独自機能,比較検討,0
1,37,アカウント不要 タスク共有,タンタン独自機能,比較検討,0
1,38,他者 タスク追加 ツール,タンタン独自機能,比較検討,0
