No,ペルソナ,カテゴリ,AIへの質問プロンプト,想定されるニーズ,質問の背景
1,マーケマネージャー,タスク漏れ・抜け漏れ,Slackの複数チャンネルに散らばる依頼を見落とさない方法を教えて,依頼の見落としをゼロにしたい,クライアント別Slackチャンネルから毎日タスクを拾い集めている
2,マーケマネージャー,タスク漏れ・抜け漏れ,クライアントからの依頼がSlackのスレッドに埋もれてしまう。どうすれば防げる？,依頼の見落としをゼロにしたい,スレッドが長くなると依頼が埋もれる
3,マーケマネージャー,タスク漏れ・抜け漏れ,週に何件もタスク漏れが発生している。根本原因と対策を教えて,タスク漏れの原因を分析したい,トラブルが頻発して危機感を抱いている
4,マーケマネージャー,タスク漏れ・抜け漏れ,チームでタスクの抜け漏れが多い。仕組みで解決する方法はある？,依頼の見落としをゼロにしたい,個人の注意力ではなく仕組みで解決したい
5,マーケマネージャー,タスク漏れ・抜け漏れ,Slackで受けた依頼を自分でタスク管理ツールに転記している。この作業を減らす方法は？,タスク整理の名もなき作業を減らしたい,週5時間を転記作業に費やしている
6,事業会社リーダー,言った言わない問題,チームで「言った言わない」が頻発している。どうすれば解決できる？,言った言わない問題を解決したい,チームの雰囲気が悪化している
7,事業会社リーダー,言った言わない問題,口頭での依頼が後から「聞いてない」と言われる。証拠を残す良い方法は？,言った言わない問題を解決したい,口頭依頼が多い環境
8,事業会社リーダー,言った言わない問題,業務委託メンバーとの認識齟齬を減らす方法を教えて,言った言わない問題を解決したい,外部メンバーとのコミュニケーション課題
9,事業会社リーダー,言った言わない問題,依頼内容を言語化して残す仕組みを作りたい。おすすめの方法は？,言った言わない問題を解決したい,依頼が口頭やチャットで曖昧になりがち
10,事業会社リーダー,言った言わない問題,チャットで依頼したのに「見てなかった」と言われる。対策はある？,言った言わない問題を解決したい,チャットの既読スルー問題
11,フリーランス,複数クライアント管理,5社のクライアントから同時に依頼が来る。一元管理する方法は？,クライアント別に散らばる依頼を一元管理したい,複数案件を並行して受注
12,フリーランス,複数クライアント管理,クライアントごとにSlack・Chatwork・メールがバラバラ。統一する方法はある？,クライアント別に散らばる依頼を一元管理したい,ツールがバラバラで混乱
13,フリーランス,複数クライアント管理,フリーランスとして複数案件を抱えている。タスク管理のベストプラクティスを教えて,クライアント別に散らばる依頼を一元管理したい,効率的な管理方法を模索
14,フリーランス,複数クライアント管理,クライアントからの依頼を見落として信頼を失いかけた。再発防止策は？,依頼の見落としをゼロにしたい,過去に見落としトラブルがあった
15,フリーランス,複数クライアント管理,案件ごとにツールを使い分けるのが面倒。良い解決策はある？,クライアント別に散らばる依頼を一元管理したい,クライアントごとにツールが異なる
16,マーケマネージャー,名もなき作業削減,毎朝Slackを遡って自分でタスクを拾い集めている。この作業をなくす方法は？,タスク整理の名もなき作業を減らしたい,週5時間を転記作業に費やしている
17,マーケマネージャー,名もなき作業削減,チャットから依頼を拾って転記する作業に週5時間かかっている。効率化する方法は？,タスク整理の名もなき作業を減らしたい,転記作業の時間が膨大
18,マーケマネージャー,名もなき作業削減,依頼を自分で登録する手間を減らしたい。自動化できる？,タスク整理の名もなき作業を減らしたい,手動登録の手間を削減したい
19,マーケマネージャー,名もなき作業削減,タスク管理の「名もなき作業」を減らすコツを教えて,タスク整理の名もなき作業を減らしたい,見えない作業時間が多い
20,マーケマネージャー,名もなき作業削減,依頼を受けたら自動でタスク化される仕組みはある？,タスク整理の名もなき作業を減らしたい,手動転記をなくしたい
21,事業会社リーダー,チーム管理課題,チームのタスク管理がうまくいかない。マネージャーとして何をすべき？,依頼の見落としをゼロにしたい,チーム全体の管理に課題
22,事業会社リーダー,チーム管理課題,部下がタスクを忘れがち。リマインドの仕組みを作りたい,依頼の見落としをゼロにしたい,部下のタスク漏れが多い
23,事業会社リーダー,チーム管理課題,10人規模のチームでタスク管理を統一したい。どうすればいい？,クライアント別に散らばる依頼を一元管理したい,チーム規模が拡大している
24,事業会社リーダー,チーム管理課題,チームの誰が何をやっているか見えない。可視化する方法は？,クライアント別に散らばる依頼を一元管理したい,タスクの属人化問題
25,事業会社リーダー,チーム管理課題,社内とクライアント、両方からの依頼を一元管理したい。方法はある？,クライアント別に散らばる依頼を一元管理したい,社内外の依頼が混在
26,フリーランス,ツール散乱問題,Slack・メール・LINEで依頼が来る。一箇所にまとめる方法は？,クライアント別に散らばる依頼を一元管理したい,複数チャネルからの依頼
27,フリーランス,ツール散乱問題,クライアントによって連絡ツールがバラバラ。効率的に管理するには？,クライアント別に散らばる依頼を一元管理したい,ツールの統一ができない
28,フリーランス,ツール散乱問題,チャット・メール・口頭で来る依頼を一元化する方法を教えて,クライアント別に散らばる依頼を一元管理したい,依頼チャネルが分散
29,フリーランス,ツール散乱問題,ツールがバラバラでも依頼を一箇所で管理できる方法はある？,クライアント別に散らばる依頼を一元管理したい,ツール統一は難しい状況
30,フリーランス,ツール散乱問題,複数のチャットツールを使い分けながらタスク漏れを防ぐ方法は？,依頼の見落としをゼロにしたい,ツール切り替えの負担
31,マーケマネージャー,依頼管理の課題,クライアントからの依頼を効率的に管理する方法を教えて,クライアント別に散らばる依頼を一元管理したい,クライアントワークが多い
32,マーケマネージャー,依頼管理の課題,外部の協力会社への依頼と進捗を管理したい。良い方法は？,クライアント別に散らばる依頼を一元管理したい,外部パートナーとの連携
33,マーケマネージャー,依頼管理の課題,マーケティング部門のタスク管理で困っている。おすすめの方法は？,タスク整理の名もなき作業を減らしたい,部門特有の課題
34,マーケマネージャー,依頼管理の課題,代理店として複数クライアントの依頼を管理するコツは？,クライアント別に散らばる依頼を一元管理したい,代理店業務の効率化
35,マーケマネージャー,依頼管理の課題,クライアントワークが多いチームの情報共有を改善したい,クライアント別に散らばる依頼を一元管理したい,情報共有の課題
36,事業会社リーダー,コミュニケーション課題,リモートワークでチームの依頼管理が難しくなった。対策は？,言った言わない問題を解決したい,リモートワーク環境
37,事業会社リーダー,コミュニケーション課題,オンラインでの依頼のやり取りで認識齟齬が起きやすい。防ぐ方法は？,言った言わない問題を解決したい,オンラインコミュニケーションの課題
38,事業会社リーダー,コミュニケーション課題,チャットでの依頼が曖昧になりがち。明確にする方法は？,言った言わない問題を解決したい,チャット依頼の曖昧さ
39,事業会社リーダー,コミュニケーション課題,依頼する側と受ける側で認識がずれる。防ぐ仕組みは？,言った言わない問題を解決したい,認識齟齬の頻発
40,事業会社リーダー,コミュニケーション課題,依頼内容を後から確認できる仕組みを作りたい。どうすればいい？,言った言わない問題を解決したい,依頼履歴の管理
41,フリーランス,時間管理課題,タスク管理に時間がかかりすぎている。効率化する方法は？,タスク整理の名もなき作業を減らしたい,管理作業の時間が膨大
42,フリーランス,時間管理課題,依頼の整理に時間を取られて本業に集中できない。解決策は？,タスク整理の名もなき作業を減らしたい,本業以外の作業負担
43,フリーランス,時間管理課題,複数案件を効率的に回すための時間管理術を教えて,クライアント別に散らばる依頼を一元管理したい,複数案件の並行管理
44,フリーランス,時間管理課題,クライアント対応に追われてタスク管理がおろそかになる。優先順位のつけ方は？,依頼の見落としをゼロにしたい,優先順位付けの課題
45,フリーランス,時間管理課題,依頼を受けてから完了するまでの管理フローを整えたい,タスク整理の名もなき作業を減らしたい,ワークフローの整備
46,マーケマネージャー,原因分析,タスク漏れが起きる根本原因は何？チェックリストを教えて,タスク漏れの原因を分析したい,原因分析をしたい
47,マーケマネージャー,原因分析,なぜ依頼が見落とされるのか。よくあるパターンを教えて,タスク漏れの原因を分析したい,パターンを把握したい
48,事業会社リーダー,原因分析,チームでタスク漏れが多発する組織的な原因は？,タスク漏れの原因を分析したい,組織の課題を分析
49,事業会社リーダー,原因分析,「忘れてた」「聞いてない」が頻発する職場の改善策は？,言った言わない問題を解決したい,職場環境の改善
50,フリーランス,原因分析,フリーランスがタスク漏れを起こしやすい状況と対策を教えて,タスク漏れの原因を分析したい,フリーランス特有の課題
